               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 104,            0.024457,            0.011527,           0.0055319,             0.99638,             0.97535,             0.98923,             0.83782,            0.021309,           0.0078841,           0.0046844,           0.0060168,           0.0060168,           0.0060168
                 105,             0.02351,            0.011157,           0.0054419,             0.99529,             0.97708,             0.99163,             0.84144,            0.021724,           0.0078889,           0.0045389,           0.0059781,           0.0059781,           0.0059781
                 106,            0.024969,            0.011725,           0.0055878,             0.99466,              0.9829,             0.99419,             0.84229,            0.021124,           0.0074626,           0.0045328,           0.0059395,           0.0059395,           0.0059395
                 107,              0.0247,             0.01143,           0.0055623,             0.99311,             0.99107,             0.99453,             0.85142,            0.020838,           0.0074711,           0.0045136,           0.0059008,           0.0059008,           0.0059008
                 108,            0.025019,            0.011633,           0.0057244,             0.99705,             0.99107,             0.99411,             0.84738,            0.021291,           0.0074816,           0.0045227,           0.0058621,           0.0058621,           0.0058621
                 109,            0.024602,            0.011521,           0.0057956,             0.99492,             0.99287,             0.99421,             0.84375,            0.020823,           0.0073562,           0.0044073,           0.0058234,           0.0058234,           0.0058234
                 110,            0.024196,             0.01149,           0.0056178,             0.98975,             0.99063,             0.99404,             0.85345,            0.020642,           0.0073174,           0.0045296,           0.0057848,           0.0057848,           0.0057848
                 111,            0.024163,            0.011137,           0.0057324,             0.99099,             0.99293,              0.9941,             0.84118,            0.021302,           0.0074445,           0.0045834,           0.0057461,           0.0057461,           0.0057461
                 112,            0.024267,            0.011173,           0.0054994,             0.99263,             0.97754,             0.99405,             0.83872,             0.02098,           0.0075186,           0.0045187,           0.0057074,           0.0057074,           0.0057074
                 113,             0.02367,            0.011102,           0.0055338,             0.99598,             0.98617,             0.99407,             0.84241,            0.021221,           0.0077024,           0.0044832,           0.0056688,           0.0056688,           0.0056688
                 114,            0.023122,             0.01092,            0.005421,              0.9972,             0.98822,             0.99388,             0.84488,            0.021148,            0.007457,           0.0044758,           0.0056301,           0.0056301,           0.0056301
                 115,            0.023618,            0.011241,           0.0057596,             0.99259,             0.99107,             0.99265,             0.85026,            0.020597,           0.0073436,           0.0044764,           0.0055914,           0.0055914,           0.0055914
                 116,            0.023746,             0.01099,           0.0056015,             0.99357,               0.988,             0.99382,             0.84745,            0.020797,           0.0074457,           0.0044455,           0.0055527,           0.0055527,           0.0055527
                 117,            0.022888,            0.011059,           0.0055137,             0.99758,             0.98869,             0.99285,              0.8433,            0.020694,           0.0075597,           0.0044849,           0.0055141,           0.0055141,           0.0055141
                 118,            0.023832,            0.011107,           0.0055015,             0.99558,             0.97903,             0.99193,             0.84778,            0.020578,           0.0077431,           0.0044277,           0.0054754,           0.0054754,           0.0054754
                 119,            0.024142,            0.011813,           0.0057201,             0.99716,             0.97382,             0.98802,             0.82845,             0.02141,           0.0079836,           0.0044188,           0.0054367,           0.0054367,           0.0054367
                 120,            0.023444,            0.010984,           0.0053337,             0.99048,             0.98022,             0.99011,             0.84108,            0.020915,           0.0077628,           0.0044277,            0.005398,            0.005398,            0.005398
                 121,            0.022712,            0.010651,           0.0053958,             0.98909,             0.98475,             0.99228,             0.84177,            0.021549,           0.0078889,           0.0044731,           0.0053594,           0.0053594,           0.0053594
                 122,            0.023152,            0.010712,           0.0055377,             0.99403,             0.97364,              0.9901,              0.8388,            0.021009,           0.0078655,           0.0044245,           0.0053207,           0.0053207,           0.0053207
                 123,            0.024063,            0.011357,            0.005543,             0.99588,             0.97354,             0.98944,             0.84404,            0.020843,            0.007895,           0.0043583,            0.005282,            0.005282,            0.005282
                 124,            0.023516,            0.011426,           0.0058991,             0.99451,             0.98614,             0.99414,             0.84339,             0.02124,           0.0076613,            0.004388,           0.0052434,           0.0052434,           0.0052434
                 125,            0.022779,             0.01108,            0.005453,              0.9969,             0.97955,             0.99136,             0.84585,            0.020819,           0.0076089,           0.0043402,           0.0052047,           0.0052047,           0.0052047
